Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 1,Young Inuit  woman carrying an infant in her amauti,Richard Harrington/Library and Archives Canada/PA-147049.,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-16T03%3A50%3A22Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192209&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,"Taktu cleaning fat from seal skin with an ulu, Cape Dorset, N.W.T., [Cape Dorset (Kinngait), Nunavut], August 1960. ",Rosemary Gilliat Eaton/ National Film Board of Canada/PA-146506,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-28T18%3A04%3A30Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3211014&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,"Four Young Girls Rymer Point, Victoria Island, Nunavut","Lachan T. Burwash, Canada, Dept. of Indian and Northern Affairs/ Library and Archives Canada/PA-100155",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-28T18%3A43%3A01Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379959&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,"Potlach, Alert By, B.C.",Indian Affairs/ Library and Archives Canada/PA-074039,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T21%3A25%3A50Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368269&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,Chief Anotklosh of the Taku,University of Washington Libraries Digital Collection/ Seattle Museum of History and Industry ,http://digitalcollections.lib.washington.edu/cdm/ref/collection/loc/id/120,Copyright: Museum of History and Industry
Module 1,"Potlach, Alert by, B.C.",Indian Affairs/Library and Archives Canada/PA-074039,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T21%3A25%3A50Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368269&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,Tlingit Master Carver Wayne Price of Haines standing near the totem he is restoring,U.S. Department of Agriculture/ Flickr/ CC BY 2.0 ,https://flic.kr/p/rtrKwq,https://creativecommons.org/licenses/by/2.0/
Module 1,Three Valleys Gap British Columbia Canada,Thank you for visiting my page (davebloggs007)/ Flickr/ CC BY 2.0,https://flic.kr/p/nLNf9w,https://creativecommons.org/licenses/by/2.0/
Module 1,Mt Lorette Ponds Kananaskis Alberta,Thank you for visiting my page (davebloggs007)/ Flickr/ CC BY 2.0,https://flic.kr/p/prGHxB,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 2,Nordamerikanische Kulturareale en,Nikater/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Nordamerikanische_Kulturareale_en.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Drawings of Iroquois (top and centre) and Wendat (bottom) longhouses,Bruce G. Trigger/ McGill-Queen's University Press/ Public Domain,https://www.collectionscanada.gc.ca/settlement/kids/021013-150-e.php?uid=021013-nlc008719&uidc=recKey,Copyright: Expired
Module 2,Copper A Metal for the Ages,U.S. Geological Survey/Flickr/ Public Domain,https://flic.kr/p/o1j1cL,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,More Quahogs,NOAA Photo Library/Flickr/ CC BY 2.0,https://flic.kr/p/8MYjuN,https://creativecommons.org/licenses/by/2.0/
Module 2,(HMM) Ancient technology - a broken piece of obsidian stone tool,Aotaro/Flickr/ CC BY 2.0,https://flic.kr/p/tgDwCo,https://creativecommons.org/licenses/by/2.0/
Module 2,An assortment of Native American artifacts.,Ragesoss/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Artifacts_%28back%29.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Eulachon (Thaleichthys pacificus),James Crippen/Wikipedia/ CC BY 2.0 ,https://en.wikipedia.org/wiki/File:Eulachon.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Medal and wampum,M5932/McCord Museum,http://www.musee-mccord.qc.ca/fr/collection/artefacts/M5932?Lang=2&accessnumber=M5932,Copyright: McCord Museum
Module 2,The British Empire Anachronous,The_Red_Hat_of_Pat_Ferrick/Wikipedia/ Public Domain,https://en.wikipedia.org/wiki/File:The_British_Empire_Anachronous.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Claude Bernou Carte de lAmerique septentrionale,David.Monniaux/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Claude_Bernou_Carte_de_lAmerique_septentrionale.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,American progress,Jared Farmer/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:American_progress.JPG,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,The Fur Trader at Montreal, Acc. No. 1990-329-1/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T23%3A20%3A22Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2836988&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Beaver Lodge ,USDA/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Beaver_lodge.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Eight Different Styles of Beaver Hat ,Bibliothèque nationale du Canada/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Chapeaux_en_peau_de_castor.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,"L'Anse Aux Meadows, Canada",Pauk/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Lanseauxmeadows.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,"Anse aux Meadows, Newfoundland",Mitchell Rathwell/ Flickr/ CC BY 2.0 ,https://flic.kr/p/Ct35Pt,https://creativecommons.org/licenses/by/2.0/
Module 2,"L'Anse Aux Meadows, Canada",Eric Titcombe/Flickr/ CC BY 2.0,https://flic.kr/p/fVp5zD,https://creativecommons.org/licenses/by/2.0/
Module 2,Norse Boat Replica,Carlb/Wikimedia Commons/ Public Domain,https://en.wikipedia.org/wiki/File:Carlb-ansemeadows-vinland-03.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,John Cabot in London,Koektrommel/Wikimedia Commons/ Public domain ,https://commons.wikimedia.org/wiki/File:Cabot_london.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Newfoundland Cabots ship 1897 issue-10d,Gwillhickers United Kingdom Government/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Newfoundland_Cabots_ship_1897_issue-10d.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Jacques Cartier,The British Library/Flickr/ Public Domain,https://flic.kr/p/hZYEKE,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Dauphin Map of Canada - circa 1543 , Project Gutenberg etext 20110/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Dauphin_Map_of_Canada_-_circa_1543_-_Project_Gutenberg_etext_20110.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Canada Cartier 1908 ,Gwillhickers Canada Post Office/Wikipedia/Public domain,https://en.wikipedia.org/wiki/File:Canada_Cartier_1908_issue-20c.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Tadoussac - circa 1612,Project Gutenberg etext 20110/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Tadoussac_-_circa_1612_-_Project_Gutenberg_etext_20110.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,"Scene in the Canadian Fur District, North America.",Peter Winkworth Collection of Canadiana/Library and Archives Canada/ Acc. No. R9266-3432 Peter Winkworth Collection of Canadiana,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-02T00%3A21%3A17Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3022501&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Public Domain
Module 2,Mistahi maskwa (Big Bear ca. 1825-1888),O.B. Buell/Library and Archives Canada/ PA-118768,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-08-19T21%3A11%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192491&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Public Domain
Module 2,Aerial view of York Factory, Library and Archives Canada/PA-041571,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-13T20%3A44%3A55Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192800&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Public Domain
Module 2,Fort Pell Trading Post,Joseph Burr Tyrrell/Geological Survey of Canada/ Public Domain,http://scaa.sk.ca/ourlegacy/permalink/28240#,Copyright: Public Domain
Module 2,Hudson's Bay Company. List of skins tradet,The Beaver Winter 1957 York Factory Issue. Hudson's Bay Company/Collection G. & C. Franke/ Public Domain,"https://commons.wikimedia.org/wiki/File:Hudson%27s_Bay_Company._List_of_skins_tradet_from_Sept._8th,_1714_to_Aug._1st,_1715_and_Standard_of_trade_decreed,_by_Governor_James_Knight_in_1715.jpg",Copyright: Public Domain
Module 2,Fur trading days - Indians at Great Slave Lake,Canadian National Railways/Library and Archives Canada/PA-,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-02T00%3A09%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3517658&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Public Domain
Module 2,Map of the English empire in North America,Dominic Bordin/Flickr/ CC0 1.0,https://flic.kr/p/uDtv3n,https://creativecommons.org/publicdomain/zero/1.0/
Module 2,"Pine Marten, Algonquin Provincial Park, Nipissing District, Ontario",Didymops transversa/Flickr/ CC BY 2.0,https://flic.kr/p/qjJLmK,https://creativecommons.org/licenses/by/2.0/
Module 2,Bison Bison ,Henry Schimke/Flickr/ CC BY 2.0 ,https://flic.kr/p/djA3FA,https://creativecommons.org/licenses/by/2.0/
Module 2,"Grand River Beaver - Painesville, Ohio",LASZLO ILYES/Flickr/ CC BY 2.0,https://flic.kr/p/evkSg,https://creativecommons.org/licenses/by/2.0/
Module 2,Lower Fort Garry: beaver pelts,"Alex ""Skud"" Bayley/Flickr/ CC BY 2.0",https://flic.kr/p/bWyvdh,https://creativecommons.org/licenses/by/2.0/
Module 2,Kettle,M10942/McCord Museum,http://collection.mccord.mcgill.ca/en/collection/artifacts/M10942,Copyright: McCord Museum
Module 2,Bracelet ,M1884.1-2/McCord Museum,http://collection.mccord.mcgill.ca/en/collection/artifacts/M1884.1-2/   ,Copyright: McCord Museum
Module 2,Axe,Pavlofox/Pixabay/ CC0,https://pixabay.com/en/axe-stump-tree-lumberjack-497181/,https://creativecommons.org/publicdomain/zero/1.0/
Module 2,"Girandoni System Austrian Repeating Air Rifle, Circa 1795",Army Heritage Museum/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Girandoni_Air_Rifle.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Bead Lot ,M13459A/ McCord Museum,http://collection.mccord.mcgill.ca/en/collection/artifacts/M13459A/#,Copyright: McCord Museum
Module 2,Copper A Metal for the Ages,U.S. Geological Survey/Flickr/ Public Domain,https://flic.kr/p/o1j1cL,https://creativecommons.org/publicdomain/zero/1.0/
Module 2,"Birds Hill Provincial Park, Manitoba",Robert Linsdell/Flickr/ CC BY 2.0 ,https://flic.kr/p/jkNFSQ,https://creativecommons.org/licenses/by/2.0/
Module 2,St. Lawrence River Restoration,NOAA's National Ocean Service/Flickr/ CC bY 2.0,https://flic.kr/p/jRhFm8,https://creativecommons.org/licenses/by/2.0/
Module 2,"St. Andrews, Manitoba (505280)",Robert Linsdell/Flickr/ CC BY 2.0 ,https://flic.kr/p/E91rS2,https://creativecommons.org/licenses/by/2.0/
Module 2,A Coureur de Bois/Officer and Men of the Carignan-Salieres Regiment/A Canadian Going to War. , 1972-26-301/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-14T16%3A45%3A55Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2834728&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 2,"Fort McPherson 2,000 Miles North of Edmonton (N.W.T.)",1981-55-74 Bushnell Collection/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T15%3A39%3A05Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2836762&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,French Colonies Map , 74696120/Library of Congress Geography and Map Division/ Public Domain,https://lccn.loc.gov/74696120#,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,New Netherland,New Netherland/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:New_Netherland_%27NOVI_BELGII_NOVAEQUE_ANGLIAE_NEC_NON_PARTIS_VIRGINIAE_TABULA%27.jpg#,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Coureur de bois ,"Heming, National Archives of Canada/Library and Archives Canada, Acc. No. 1990-554-418",http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=2932193,Copyright: Expired
Module 2,Hudson's Bay Company Officials,Peter Winkworth Collection of Canadiana/Library and Archives Canada No. R9266-346 Peter Winkworth Collection of Canadiana,http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=2838040,Copyright: Expired 
Module 2,Arms of the Hudson's Bay Company,Glenn Scofield Williams/Flickr/ CC BY 2.0,https://flic.kr/p/5CodcS,https://creativecommons.org/licenses/by/2.0/
Module 2,Prince Rupert Reading Charter ,Acc: 1991-35-24/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-20T19%3A56%3A39Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2896929&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Hudson's Bay Company- list of skins tradet,Kürschner/Wikimedia Commons/ Public Domain,"https://commons.wikimedia.org/wiki/File:Hudson%27s_Bay_Company._List_of_skins_tradet_from_Sept._8th,_1714_to_Aug._1st,_1715_and_Standard_of_trade_decreed,_by_Governor_James_Knight_in_1715.jpg#",https://creativecommons.org/publicdomain/mark/1.0/
Module 2,Fur Trade Tokens,Emil Brass: Im Reiche der Pelze/ Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Emil_Brass,_Im_Reiche_der_Pelze,_2._Auflage,_1925,_Seite_349,_Biberwertzeichen_der_Nordwest-Co.;_Biberwertzeichen_der_Hudson'_Bay-Company.jpg#",https://creativecommons.org/publicdomain/mark/1.0/
Module 2,NW Company Fort William ,Peter Winkworth Collection of Canadiana/Library and Archives Canada/Acc. No. 1990-554-418 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-17T17%3A54%3A10Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2838124&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 2,Hudson's Bay Company and Northwest Company Forts at Ìle-à-la-Crosse  ,Acquired with the assistance of Hoechst and Celanese Canada and with a grant from the Department of Canadian Heritage under the Cultural Property Export and Import Act/ Library and Archives Canada ,"http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=2837997&rec_nbr_list=2898203,2837997#",Copyright: Expired
Module 2,Hudsons Bay Country,"P.Pond/ Library of Congress, Geography and Map Division/ Public Domain",https://lccn.loc.gov/2002622133,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,The Trapper's Bride by Alfred Jacob Miller,Collection of Walters Art Museum/ CC0,http://art.thewalters.org/detail/2968/the-trappers-bride/,https://creativecommons.org/publicdomain/zero/1.0/
Module 2,Red River Jig,"Walter J. Phillips/ Library and Archives Canada acc. no. 1934-23, e010835251",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-31T16%3A23%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2876995&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 2,Canoe Manned by Voyageurs Passing a Waterfall,1989-401-1/ Library and Archives Canada/Acc. No. 1989-401-1,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-14T17%3A02%3A33Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2894475&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Bison Hunting in the Summer ,Cultural Property Export and Import Act/ Library and Archives Canada  Acc. No. 1981-55-69,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T17%3A42%3A49Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2835795&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 2,National Bison Range Bison,Paul Fredrickson/ Wikimedia Commons/ CC BY 2.5 ,https://commons.wikimedia.org/wiki/File:NationalBisonRangeBison.jpg,https://creativecommons.org/licenses/by/2.5/ca/
Module 2,Saskatoon Berries,John Freeland/Flickr/ CC BY 2.0,https://flic.kr/p/a8yVjh,https://creativecommons.org/licenses/by/2.0/
Module 2,Wild Strawberries,Tara Schmidt/Flickr/ CC BY 2.0,https://flic.kr/p/3Brj39,https://creativecommons.org/licenses/by/2.0/
Module 2,Wild Blueberries,Andrew Malone/Flickr/ CC BY 2.0 ,https://flic.kr/p/33jtxX,https://creativecommons.org/licenses/by/2.0/
Module 2,Bison Locomotion,"Plate in Animal locomotion an electro-photographic investigation of consecutive phases of animal movements by Eadward Muybridge, 1872-1885 / By Eadweard Philadelphia : University of Pennylvania, 1887, v. 11 is licensed under Public Domain. ","
   http://www.loc.gov/pictures/item/31004968/",Copyright: Public Domain
Module 2,"Buffalo Meat Drying, White Horse Plains, Red River",1989-492-2/ Library and Archives Canada ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-02T18%3A09%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2833395&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Selkirks land grant (Assiniboia),Royal Society of Canada George Bryce/ Wikimedia Commons/ Public domain,http://commons.wikimedia.org/wiki/File%3ASelkirks_land_grant_(Assiniboia).jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,A Map Showing Lands at Red River Conveyed by Indian Chiefs to the Earl of Selkirk (1817),Wyman Laliberte/Flickr/ CC BY 2.0,https://flic.kr/p/4jSdua,https://creativecommons.org/licenses/by/2.0/
Module 2,Pemmican,John Johnston/Flickr/ CC BY 2.0,https://flic.kr/p/2agXvb,https://creativecommons.org/licenses/by/2.0/
Module 2,"The Fight at Seven Oaks, 1816",1972-26-779/Library and Archives Canada ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-05T21%3A17%3A48Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2835228&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Colonists on the Red River in North America,1988-250-36/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T17%3A44%3A31Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2835808&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Indians Shooting Rapids in a Bark Canoe,Peter Winkworth Collection of Canadiana/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-17T16%3A18%3A28Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2838466&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Handmade Birch-bark Canoe,GollyGforce - Living My Worst Nightmare/Flickr/ CC BY 2.0,https://flic.kr/p/8hx4vr,https://creativecommons.org/licenses/by/2.0/
Module 2,Canoe Museum ,veggiefrog/Flickr/ CC BY 2.0,https://flic.kr/p/5D1vsA,https://creativecommons.org/licenses/by/2.0/
Module 2,Birch Bark,Holly Kuchera/Flickr/ CC BY 2.0,https://flic.kr/p/5zACJT,https://creativecommons.org/licenses/by/2.0/
